repo_age,logger/lloc
1570.93,0.0027
1764.51,0.0148
801.03,0.0024
2924.52,0.0040
636.82,0.0086
663.48,0.0005
511.12,0.0027
232.33,0.0168
499.04,0.0000
183.12,0.0000
1426.63,0.0019
1517.93,0.0015
517.18,0.0054
3133.80,0.0057
1857.65,0.0005
1545.68,0.0418
1744.27,0.0056
1993.16,0.0000
665.54,0.0026
271.83,0.0026
960.86,0.0026
960.86,0.0013
274.45,0.0006
593.99,0.0004
531.90,0.0037
274.16,0.0011
298.96,0.0011
702.01,0.0059
1416.07,0.0072
344.24,0.0004
1845.99,0.0398
1235.75,0.0053
1585.31,0.0259
2032.34,0.0175
2387.38,0.0009
1717.32,0.0041
3437.20,0.0158
1167.88,0.0029
2390.40,0.0000
3051.36,0.0239
3913.86,0.0044
4422.81,0.0190
1168.78,0.0005
1718.61,0.0225
1142.90,0.0046
321.04,0.0171
1003.99,0.0017
1043.04,0.0302
1135.52,0.0516
2131.41,0.0033
917.94,0.0265
1375.45,0.0000
1448.47,0.0011
3365.10,0.0158
894.80,0.0099
875.65,0.0247
700.32,0.0043
947.58,0.0000
1477.29,0.0004
1697.86,0.0026
335.71,0.0088
591.42,0.0099
1079.37,0.0102
1636.67,0.0734
2490.84,0.0742
3881.08,0.0011
3034.38,0.0036
2452.71,0.0100
486.79,0.0791
3771.98,0.0177
468.95,0.0021
124.70,0.0093
140.27,0.0093
2609.25,0.0150
2948.22,0.0023
406.30,0.0099
821.55,0.0000
575.28,0.0183
1731.00,0.0468
1494.43,0.0003
1703.23,0.0089
1723.91,0.0266
1241.00,0.0017
1168.67,0.0109
1564.64,0.0031
1155.97,0.0150
3095.26,0.0085
1508.06,0.0034
441.10,0.0004
1220.26,0.0420
484.50,0.0139
3794.24,0.0025
1699.09,0.0071
2584.10,0.0039
1014.01,0.0093
2404.29,0.0055
2600.23,0.0007
2764.36,0.0139
2356.83,0.0039
545.01,0.0022
1121.31,0.0025
1043.92,0.0070
2320.94,0.0000
3152.29,0.0056
1960.76,0.0165
2504.14,0.0243
1921.54,0.0110
2775.15,0.0009
2802.47,0.0007
1947.46,0.0010
2794.36,0.0000
3424.16,0.0143
1387.85,0.0036
2979.25,0.0078
4356.48,0.0044
1871.03,0.0148
2768.49,0.0024
933.73,0.0755
2930.98,0.0010
3538.81,0.0033
1392.95,0.0063
2215.38,0.0011
1160.11,0.0185
1154.71,0.0009
1657.25,0.0033
1677.23,0.0001
1463.82,0.0006
1369.45,0.0393
1361.42,0.0214
1434.85,0.0058
554.90,0.0105
1578.33,0.0067
1076.59,0.0005
740.11,0.0085
1407.86,0.0014
595.01,0.0210
2062.90,0.0013
1836.56,0.0011
3093.45,0.0013
1211.01,0.0009
1293.89,0.0009
534.89,0.0025
516.81,0.0159
2596.47,0.1064
351.42,0.0149
2216.92,0.0008
2832.42,0.0047
747.78,0.0077
1923.76,0.0305
3209.71,0.0003
1896.28,0.0080
316.52,0.0000
4326.88,0.0019
1637.56,0.0103
1291.48,0.0164
1050.44,0.0091
610.28,0.0072
1626.30,0.0094
3888.34,0.0123
2739.99,0.0519
1994.29,0.0095
2701.03,0.0102
4246.46,0.0044
1029.62,0.0004
2256.64,0.0197
2152.59,0.0057
960.68,0.0000
839.53,0.0256
1549.45,0.0049
1214.92,0.0299
1812.60,0.0031
3510.94,0.0136
410.05,0.0005
1492.34,0.0038
2063.83,0.0012
1705.05,0.0672
1070.14,0.0178
2713.68,0.0102
810.17,0.0147
1130.46,0.0117
3433.60,0.0080
1325.85,0.0025
2653.29,0.0251
1694.34,0.0246
1646.02,0.0051
1280.40,0.0006
3232.52,0.0000
2094.92,0.0280
1388.78,0.0145
940.03,0.0000
3225.28,0.0006
3396.67,0.0041
1336.48,0.0000
930.58,0.0160
566.89,0.0290
3700.12,0.0168
1290.16,0.0221
864.17,0.0166
1778.98,0.0043
1928.27,0.0479
1624.07,0.0049
1213.25,0.0356
2769.69,0.0215
627.93,0.0070
1526.90,0.0125
598.59,0.0002
1134.18,0.0241
1238.40,0.0032
3683.31,0.0012
2423.42,0.0046
2329.46,0.0214
2575.26,0.0008
2283.65,0.0010
1548.70,0.0028
2732.06,0.0085
1659.40,0.0033
2185.55,0.0147
1857.64,0.0633
1046.92,0.0421
3577.56,0.0000
2592.04,0.0013
370.41,0.0010
487.85,0.0054
1303.53,0.0358
1406.74,0.0031
1449.24,0.0011
761.72,0.0009
1177.60,0.0559
1134.59,0.0100
1292.02,0.1097
850.70,0.0393
2136.34,0.0009
1971.34,0.0083
2584.46,0.0420
3523.15,0.0104
2705.37,0.0025
477.28,0.0127
1986.15,0.0384
1938.81,0.0067
650.88,0.0051
127.99,0.0012
2678.83,0.0259
3267.25,0.0470
552.52,0.0185
1988.02,0.0079
1311.34,0.0066
1381.46,0.0056
3691.11,0.0125
2647.48,0.0029
3171.22,0.0088
1300.03,0.0006
1745.66,0.0167
3681.45,0.0015
3659.17,0.0045
2738.03,0.0051
237.79,0.0186
2849.72,0.0093
2971.14,0.0002
897.41,0.0107
1284.51,0.0072
2144.14,0.0104
1470.34,0.0128
1091.85,0.0030
1545.41,0.0173
594.13,0.0084
1232.94,0.0259
1411.93,0.0342
2410.46,0.0000
2527.73,0.0047
905.76,0.0613
1207.83,0.0005
3996.30,0.0002
4186.11,0.0064
1654.16,0.0445
3398.78,0.0054
2941.30,0.0007
2735.97,0.0267
600.96,0.0005
930.12,0.0004
1365.32,0.0064
1168.65,0.0000
1757.79,0.0652
2236.82,0.0116
1251.56,0.0270
2533.68,0.0189
1469.68,0.0417
1011.07,0.0003
848.20,0.0017
888.88,0.0001
1890.10,0.0065
794.15,0.0108
955.85,0.0030
1766.19,0.0161
382.24,0.0102
618.27,0.0005
1226.72,0.0141
1422.60,0.0012
1113.96,0.0013
602.80,0.0334
1936.45,0.0140
2976.59,0.0263
1968.07,0.0066
1554.81,0.0845
2071.21,0.0096
650.32,0.0000
2626.29,0.0229
1835.02,0.0000
750.61,0.0013
746.76,0.0519
852.83,0.0024
